dept,Month of resignation,age_group,POSTDIC SCORE 2021,postdic,promoted,travel,distance,marital,edu,grad,Status,age_left,age_joined,duration,salary,experience
CORPORATE SERVICES,,30-34,3.0 - 3.9 [Good Work Attitude],3.0 - 3.9 [Good Work Attitude],NO,NO,15.0,Married,M,L,stay,32.0,28,43,4640.0,8.0
SYSTEM,7.0,25-29,3.0 - 3.9 [Good Work Attitude],NOT APPLICABLE,NO,NO,21.6,Single,Dg,O,left,25.0,23,29,5000.0,3.0
TALENT MANAGEMENT,,30-34,3.0 - 3.9 [Good Work Attitude],3.0 - 3.9 [Good Work Attitude],NO,YES,19.3,Single,Dg,L,stay,32.0,28,42,6800.0,7.0
SYSTEM,9.0,25-29,Above 4.0 [Positive Influence],NOT APPLICABLE,NO,NO,7.7,Single,Dg,L,left,26.0,24,31,4200.0,3.0
DIGITAL MARKETING,,25-29,NOT APPLICABLE,Above 4.0 [Positive Influence],YES,NO,11.3,Single,Dg,O,stay,27.0,26,17,5800.0,5.0
SYSTEM,9.0,30-34,3.0 - 3.9 [Good Work Attitude],NOT APPLICABLE,NO,NO,33.6,Married,Dg,L,left,30.0,28,29,4800.0,5.0
SYSTEM,2.0,25-29,3.0 - 3.9 [Good Work Attitude],NOT APPLICABLE,NO,NO,23.1,Single,Dg,L,left,25.0,23,24,3330.0,3.0
SYSTEM,10.0,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,8.9,Single,Dg,L,left,24.0,24,2,3200.0,3.0
DIGITAL MARKETING,6.0,30-34,NOT APPLICABLE,NOT APPLICABLE,NO,NO,13.6,Single,Dg,O,left,28.0,27,16,4300.0,5.0
ANALYTICS,9.0,30-34,NOT APPLICABLE,NOT APPLICABLE,NO,NO,27.2,Single,M,L,left,31.0,31,5,3800.0,3.0
SYSTEM,5.0,30-34,NOT APPLICABLE,NOT APPLICABLE,NO,NO,29.2,Married,M,O,left,29.0,29,2,3700.0,8.0
SYSTEM,3.0,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,2.7,Single,Dg,L,left,25.0,24,13,3200.0,3.0
